"start_index","objective","convergence","message","start_mu","fitted_mu","start_sigma","fitted_sigma","start_R_top","fitted_R_top","start_R_bottom","fitted_R_bottom","start_k","fitted_k","selected","start_transport_scale_top","start_transport_scale_bottom","fitted_transport_scale_top","fitted_transport_scale_bottom"
1,0.518293188614151,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,0.867902453907013,0.6,2.5,2,0.171823007534562,3,3.24263090736923,0.005,0.00612649898344037,FALSE,2,3,0.149125609876929,2.81428732162048
2,0.518293229147027,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.32270804579603,0.100742398259641,1.64018924534321,2.5,13.1741465789964,1.48170042904738,28.046700189868,28.1231053718094,0.0489113214192912,0.00613149539722059,FALSE,96.4704291505134,205.377797138375,0.149270054724571,2.83318908166466
3,0.518293187851638,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.499749535718,0.312363112964866,1.34583027791232,2.5,14.1307892023353,0.477433021067008,7.73732184779365,9.01097822409957,0.00587436808273196,0.00612633281139375,TRUE,105.977379759543,58.0279759356911,0.149132464692711,2.81469720893836
4,0.518293187880793,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.32480930155143,0.19717749388925,1.86781195513904,2.5,9.20906134734396,0.756528840877668,13.9225553940516,14.293985762291,0.0237498540780507,0.00612750060160185,FALSE,21.409311478863,32.3672862814562,0.149170460899197,2.81845229029716
5,0.519060834494374,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.65205862723524,0.0517384884346132,0.423199833370745,2.499995837298,14.4103338078829,2.64051683853419,28.20643423039,28.4320711611918,0.0280166373122483,0.00556275328443577,FALSE,95.8583853280667,187.630854165809,0.136616349911902,1.47103238494542
