"parameter","estimate","lower","upper","bound_hit"
"mu",0.312363112964866,0.05,8,FALSE
"sigma",2.5,0.1,2.5,TRUE
"R_top",0.477433021067008,0.1,20,FALSE
"R_bottom",9.01097822409957,0.1,30,FALSE
"k",0.00612633281139375,0,0.05,FALSE
