"start_index","objective","convergence","message","start_mu","fitted_mu","start_sigma","fitted_sigma","start_R_top","fitted_R_top","start_R_bottom","fitted_R_bottom","start_k","fitted_k","selected","start_transport_scale_top","start_transport_scale_bottom","fitted_transport_scale_top","fitted_transport_scale_bottom"
1,0.474123390045651,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,0.0691526173336604,0.6,2.5,2,6.02686188910849,3,0.216789383610456,0.005,0,FALSE,2,3,0.416773273940341,0.014991553286814
2,0.821782217205406,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.32270804579603,0.0949136569506761,1.64018924534321,2.5,13.1741465789964,20,28.046700189868,25.2537538522584,0.0489113214192912,0.0089170408739252,FALSE,96.4704291505134,205.377797138375,1.89827313901352,2.39692612985007
3,0.474123386625683,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.499749535718,0.05,1.34583027791232,2.5,14.1307892023353,8.33403137635746,7.73732184779365,0.299806172484237,0.00587436808273196,0,TRUE,105.977379759543,58.0279759356911,0.416701568817873,0.0149903086242119
4,0.474123386629922,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.32480930155143,0.05,1.86781195513904,2.5,9.20906134734396,8.33404150053403,13.9225553940516,0.299806753352373,0.0237498540780507,0,FALSE,21.409311478863,32.3672862814562,0.416702075026702,0.0149903376676187
5,0.474123386627017,0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.65205862723524,0.05,0.423199833370745,2.5,14.4103338078829,8.33400964101092,28.20643423039,0.299806218137406,0.0280166373122483,0,FALSE,95.8583853280667,187.630854165809,0.416700482050546,0.0149903109068703
