"parameter","estimate","lower","upper","bound_hit"
"mu",0.312548104043985,0.05,8,FALSE
"sigma",2.5,0.1,2.5,TRUE
"R_top",0.477230313622021,0.1,20,FALSE
"R_bottom",9.01605458062627,0.1,30,FALSE
"k",0.00612738215610136,0,0.05,FALSE
