site_id,soil_group,crop_2024,depth_mm,sample_date,days_since_application,herbicide,replicate_id,concentration,is_t0,timepoint,t0_top_mean,relative_concentration
NSW_Griffith,Heavy,Wheat,300,2024-05-06,10,Imazapic,3,0.8141382519413976,False,T1,10.9,0.0746915827469172
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Imazapic,1,0.5984321536240921,False,T2,10.9,0.054902032442577256
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Imazapic,2,0.6897360517066341,False,T2,10.9,0.06327853685381964
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Imazapic,3,1.302438906188495,False,T2,10.9,0.11948980790720136
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Imazapic,1,0.42901877380739883,False,T3,10.9,0.039359520532788884
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Imazapic,2,0.7925099144194294,False,T3,10.9,0.07270733159811278
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Imazapic,3,0.648588765838431,False,T3,10.9,0.05950355649893862
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Imazapic,1,0.21868784657316712,False,T4,10.9,0.020063105190198816
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Imazapic,2,0.23670054763416443,False,T4,10.9,0.02171564657194169
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Imazapic,3,1.3272819553219724,False,T4,10.9,0.12176898672678645
NSW_Griffith,Heavy,Wheat,150,2024-04-26,0,Terbuthylazine,1,437.5,True,T0,437.5,1.0
NSW_Griffith,Heavy,Wheat,150,2024-04-26,0,Terbuthylazine,2,437.5,True,T0,437.5,1.0
NSW_Griffith,Heavy,Wheat,150,2024-04-26,0,Terbuthylazine,3,437.5,True,T0,437.5,1.0
NSW_Griffith,Heavy,Wheat,150,2024-05-06,10,Terbuthylazine,1,63.08044200746207,False,T1,437.5,0.14418386744562758
NSW_Griffith,Heavy,Wheat,150,2024-05-06,10,Terbuthylazine,2,99.08942285375149,False,T1,437.5,0.22649010938000338
NSW_Griffith,Heavy,Wheat,150,2024-05-06,10,Terbuthylazine,3,121.93260431214563,False,T1,437.5,0.27870309557061856
NSW_Griffith,Heavy,Wheat,150,2024-05-22,26,Terbuthylazine,1,133.07410591392087,False,T2,437.5,0.30416938494610485
NSW_Griffith,Heavy,Wheat,150,2024-05-22,26,Terbuthylazine,2,129.0112855963501,False,T2,437.5,0.29488293850594305
NSW_Griffith,Heavy,Wheat,150,2024-05-22,26,Terbuthylazine,3,151.44151951790417,False,T2,437.5,0.3461520446123524
NSW_Griffith,Heavy,Wheat,150,2024-07-26,91,Terbuthylazine,1,84.96248217920024,False,T3,437.5,0.1941999592667434
NSW_Griffith,Heavy,Wheat,150,2024-07-26,91,Terbuthylazine,2,152.63016904025324,False,T3,437.5,0.3488689578062931
NSW_Griffith,Heavy,Wheat,150,2024-07-26,91,Terbuthylazine,3,86.84988365825387,False,T3,437.5,0.19851401979029457
NSW_Griffith,Heavy,Wheat,150,2024-09-19,146,Terbuthylazine,1,118.5406612859433,False,T4,437.5,0.27095008293929895
NSW_Griffith,Heavy,Wheat,150,2024-09-19,146,Terbuthylazine,2,31.865370453124648,False,T4,437.5,0.07283513246428491
NSW_Griffith,Heavy,Wheat,150,2024-09-19,146,Terbuthylazine,3,37.57202772308594,False,T4,437.5,0.08587892050991072
NSW_Griffith,Heavy,Wheat,300,2024-04-26,0,Terbuthylazine,1,0.0,True,T0,437.5,0.0
NSW_Griffith,Heavy,Wheat,300,2024-04-26,0,Terbuthylazine,2,0.0,True,T0,437.5,0.0
NSW_Griffith,Heavy,Wheat,300,2024-04-26,0,Terbuthylazine,3,0.0,True,T0,437.5,0.0
NSW_Griffith,Heavy,Wheat,300,2024-05-06,10,Terbuthylazine,1,32.9087062652753,False,T1,437.5,0.07521990003491497
NSW_Griffith,Heavy,Wheat,300,2024-05-06,10,Terbuthylazine,2,27.762211496277068,False,T1,437.5,0.06345648342006187
NSW_Griffith,Heavy,Wheat,300,2024-05-06,10,Terbuthylazine,3,21.327520306405845,False,T1,437.5,0.04874861784321336
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Terbuthylazine,1,30.898582525487956,False,T2,437.5,0.07062533148682962
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Terbuthylazine,2,35.90887510711882,False,T2,437.5,0.08207742881627159
NSW_Griffith,Heavy,Wheat,300,2024-05-22,26,Terbuthylazine,3,36.703855167665836,False,T2,437.5,0.0838945260975219
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Terbuthylazine,1,0.22086736050005995,False,T3,437.5,0.0005048396811429942
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Terbuthylazine,2,2.383293210508068,False,T3,437.5,0.005447527338304155
NSW_Griffith,Heavy,Wheat,300,2024-07-26,91,Terbuthylazine,3,1.4751809982104886,False,T3,437.5,0.003371842281623974
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Terbuthylazine,1,6.625563170340949,False,T4,437.5,0.015144144389350741
